id,lens,metric_space,n_cubes,overlap,eps,min_samples,n_nodes,n_edges,n_components,n_loops,avg_degree,max_degree,density,avg_node_size,max_node_size,size_entropy,collapse_ratio,score,var_mgAF_dia_total,var_mgAF_suple_1T,var_mgAF_saf,var_total_AF_mg,var_dias_saf,var_pn_hijo,var_eg_hijo,var_edad_madre,var_imc_antes,var_dif_imc,var_hijo_problema,var_consume_suple,bio_score
20621,densidad,cont_std,12,0.2,2.5,5,8,0,8,0,0.0,0,0.0,25.1,133,1.214,0.189,0.3005,4.5728,4.5711,5.1188,161625.1057,9215.8611,12796.9971,0.0444,2.8881,4.7118,0.8841,0.0088,0.1094,0.27332892271673387
21359,densidad,all_mixed,12,0.3,2.5,5,10,6,4,0,1.2,2,0.1333,36.6,148,1.73,0.21,0.3004,4.264,4.2766,4.2212,44036.0128,4936.0005,18345.7172,0.3334,1.9996,1.8845,0.0846,0.0012,0.16,0.20626543450675097
2121,pca_2,all_mixed,20,0.4,5.0,2,15,12,3,0,1.6,2,0.1143,77.9,242,2.117,0.343,0.3004,0.6496,0.5964,0.6778,44123.4973,2427.003,26400.5636,0.189,2.4526,170.8703,2.3957,0.0055,0.002,0.05722780211953545
5984,umap_30_01,cont_rob,16,0.4,2.0,5,9,5,4,0,1.11,2,0.1389,22.4,78,1.666,0.111,0.3004,3.7946,3.6518,3.953,233391.2872,5353.8765,35524.0858,0.1645,2.4282,3.4985,0.1444,0.0035,0.0,0.2638917291513642
11192,mgAF_suple_1T,cont_rob,8,0.3,3.5,5,10,5,5,0,1.0,2,0.1111,91.1,358,1.55,0.508,0.3003,4.8292,4.8101,4.9469,349231.5217,5633.7383,19512.8728,0.1092,2.8981,2.5476,0.3731,0.0039,0.0017,0.3550946681176088
375,pca_1,cont_rob,8,0.2,5.0,2,13,9,4,0,1.38,3,0.1154,66.2,315,1.814,0.447,0.3003,4.6245,4.6083,4.8581,232008.3041,4613.6114,7841.4009,0.2223,2.1525,47.5322,1.7431,0.0023,0.0085,0.29614877842306486
1042,pca_1,all_mixed,20,0.4,5.0,3,19,17,2,0,1.79,2,0.0994,62.3,260,2.423,0.369,0.3003,4.5262,4.5528,4.2987,241800.0282,4967.8577,11390.8642,0.3142,2.0908,7.75,0.2922,0.0032,0.0414,0.29945036440275125
12830,mgAF_saf,all_mixed,16,0.4,3.5,5,9,3,6,0,0.67,2,0.0833,110.4,326,1.579,0.462,0.3002,2.7548,2.7967,2.2958,47772.6284,4224.0791,6112.4821,0.1817,3.3712,2.3843,0.4535,0.0024,0.0988,0.14282934135852318
19655,dias_saf,cont_std,16,0.3,5.0,5,11,5,6,0,0.91,3,0.0909,103.6,413,1.575,0.586,0.3002,2.7055,2.778,2.1964,141044.9708,10730.2939,100447.8533,1.2502,0.6085,1.3624,0.4985,0.002,0.1483,0.20253699708552864
12128,mgAF_saf,cont_std,16,0.5,3.5,5,8,3,5,0,0.75,2,0.1071,105.8,291,1.598,0.413,0.3001,3.7762,3.8253,4.0648,179646.5154,6267.1713,4151.1184,0.1768,2.191,1.8835,0.1809,0.0021,0.0688,0.2390908230054557
12092,mgAF_saf,cont_std,16,0.3,3.5,5,8,2,6,0,0.5,2,0.0714,104.0,291,1.598,0.413,0.3001,3.7823,3.8389,4.0764,179687.8474,6292.8477,4119.3175,0.2547,2.7007,1.9768,0.2,0.0021,0.0738,0.24026318991012544
9454,hibrido_umap_af,all_mixed,12,0.2,1.5,3,7,3,4,0,0.86,1,0.1429,5.0,14,1.722,0.02,0.3001,0.0006,0.0,0.0,0.0,0.0,3861.3636,0.1925,2.9488,2.3204,0.32,0.0,0.0,0.0024048399650287776
22027,excentricidad,cont_rob,8,0.5,3.5,3,14,9,5,0,1.29,3,0.0989,76.4,514,1.496,0.729,0.3001,6.2588,6.2945,4.9721,295889.3406,6360.4291,26054.7742,0.5227,6.0846,2.773,0.5207,0.0074,0.0095,0.4047088323240096
10534,mgAF_total,all_mixed,12,0.2,1.5,3,7,3,4,0,0.86,1,0.1429,5.0,14,1.722,0.02,0.3001,0.0006,0.0,0.0,0.0,0.0,3861.3636,0.1925,2.9488,2.3204,0.32,0.0,0.0,0.0024048399650287776
10634,mgAF_total,all_mixed,16,0.2,3.5,5,11,7,4,0,1.27,3,0.1273,67.0,285,1.954,0.404,0.3,4.5135,4.4514,4.1772,89661.0029,2939.4248,3469.9942,0.1668,2.1967,1.2215,0.4486,0.0014,0.0826,0.23031097292154148
