Variable,N,Media,Mediana,Moda,Mínimo,Máximo,Rango,Varianza,Desv. Est.,Q1,Q2,Q3,IQR,Outliers
edad,1170,29.86,29.0,26.0,15.0,55.0,40.0,37.99,6.16,26.0,29.0,34.0,8.0,4
pnacer,1170,3354.95,3390.0,3390.0,800.0,5450.0,4650.0,257891.42,507.83,3111.25,3390.0,3620.0,508.75,52
edad_gestacion_ultimo_hijo,1170,38.64,39.0,39.0,33.0,42.0,9.0,2.01,1.42,38.0,39.0,39.0,1.0,168
sitgest_1,1170,0.91,1.0,1.0,0.0,14.0,14.0,3.07,1.75,0.0,1.0,1.0,1.0,32
uf_af,647,2728.75,1000.0,1000.0,200.0,5000.0,4800.0,3670936.98,1915.97,1000.0,1000.0,5000.0,4000.0,0
