nombre_variable,tipo_python,tipo_analitico,n_validos,n_nulos,pct_nulos,valores_unicos,ejemplo_valores,descripcion,significado_nulos,tipo_nulo
consumo_osaf,float64,numérica,853,0,0.0,5,"0.0, 1.0, 847.0",Por confirmar,faltante_real_o_por_confirmar,faltante
codigo_osaf,float64,numérica,28,825,96.7,8,"18.0, 17.0, 24.0",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
nombre_osaf,str,categórica / texto,26,827,97.0,8,"Folifer, Cheltin, Maam vit",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
mg_af_capsula_osaf,float64,numérica,28,825,96.7,7,"2.0, 0.6, 0.5",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
dias_a_la_semana_osaf,float64,numérica,28,825,96.7,7,"7.0, 1.0, 6.0",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
capsulas_osaf,float64,numérica,28,825,96.7,5,"1.0, 2.0, 24.0",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
osaf_mg_af_dia,float64,numérica,28,825,96.7,12,"2.0, 0.6, 0.5",Por confirmar,no_aplica_si_no_consumo_osaf,no_aplica
saf_osaf_mg_af_dia,float64,numérica,697,156,18.3,38,"5.0, 1.0, 0.8571428571428571",Por confirmar,faltante_real_o_por_confirmar,faltante
nombre_maf,str,categórica / texto,349,504,59.1,84,"Naticare supra, Participante no especifica, Regenesis max",Por confirmar,no_aplica_si_no_consumo_maf,no_aplica
consumo_maf,float64,numérica,853,0,0.0,5,"0.0, 1.0, 847.0",Por confirmar,faltante_real_o_por_confirmar,faltante
cual_maf,str,categórica / texto,367,486,57.0,76,"Naticare supra, Supradin prenatal, Naticare supra, regénesis ultra",Por confirmar,no_aplica_si_no_consumo_maf,no_aplica
codigo_maf,float64,numérica,368,485,56.9,19,"12.0, 1.0, 16.0",Por confirmar,no_aplica_si_no_consumo_maf,no_aplica
mg_af_capsula_maf,str,categórica / texto,367,486,57.0,15,"0.4, 0.8, 0.35",Por confirmar,no_aplica_si_no_consumo_maf,no_aplica
dias_a_la_semana_maf,float64,numérica,368,485,56.9,9,"7.0, 5.0, 1.0",Por confirmar,no_aplica_si_no_consumo_maf,no_aplica
capsulas_maf,float64,numérica,368,485,56.9,5,"1.0, 2.0, 364.0",Por confirmar,no_aplica_si_no_consumo_maf,no_aplica
maf_mg_af_dia,float64,numérica,327,526,61.7,24,"0.4, 0.8, 0.35",Por confirmar,no_aplica_si_no_consumo_maf,no_aplica
saf_osaf_maf_mg_af_dia,str,categórica / texto,825,28,3.3,83,"5, 5.4, 1",Por confirmar,faltante_real_o_por_confirmar,faltante
nombre_sin,str,categórica / texto,475,378,44.3,164,"Naticare supra, Omega 3, Elcal-D, Supradin prenatal",Por confirmar,no_aplica_si_no_consumo_sin,no_aplica
consumo_sin,str,categórica / texto,853,0,0.0,6,"0, 1, x",Por confirmar,faltante_real_o_por_confirmar,faltante
dias_a_la_semana_sin,float64,numérica,480,373,43.7,10,"7.0, 5.0, 1.0",Por confirmar,no_aplica_si_no_consumo_sin,no_aplica
capsulas_sin,float64,numérica,481,372,43.6,8,"1.0, 2.0, 3.0",Por confirmar,no_aplica_si_no_consumo_sin,no_aplica
