CÓDIGOS ENCUESTA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pregunta de la encuesta,,Código,Significado,Comentarios,,,,,,,,,,,
,,10,Parálisis cerebral,,,,,,,,,,,,
,,,,,,,,,,,,,,,
18,Consumió suplemento de AF,0,No,,,,,,,,,,,,
,,1,Sí,,,,,,,,,,,,
,,,,,,,,,,,,,,,
19,Suplemento AF,0,No consumí ningún suplemento,"En otros, van todos los demás, pero a cada uno se le colocará lo que corresponde, de lo contrario se deberá promediar",,,,,,,,,,,
,,1,Folacid 1 miligramo (mg),,,,,,,,,,,,
,,2,Folacid 5 miligramos (mg),,,,,,,,,,,,
,,3,Folifeminaf 5 miligramos (mg),,,,,,,,,,,,
,,4,Folisanin 1 miligramo (mg),,,,,,,,,,,,
,,5,Folisanin 5 miligramos,,,,,,,,,,,,
,,6,Folvit 1 miligramo (mg),,,,,,,,,,,,
,,7,Fovit 5 miligramos (mg),,,,,,,,,,,,
,,8,Heliofol 1 miligramo (mg),,,,,,,,,,,,
,,9,Heliofol 5 miligramos (mg),,,,,,,,,,,,
,,10,Miliser 1 miligramo (mg),,,,,,,,,,,,
,,11,Miliser 5 miligramos (mg),,,,,,,,,,,,
,,12,Fersitol 1 sobre,,,,,,,,,,,,
,,13,Consumí el del consultorio y no recuerdo el nombre,,,,,,,,,,,,
,,14,Ácido fólico 1 mg solgar ,,,,,,,,,,,,
,,15,Acido folico 5 mg,,,,,,,,,,,,
,,16,"Antes de embarazarme tomé 1 MG de ac fólico solo, luego tomé un suplemento que incluía ac. Fólico 1 MG. ",,,,,,,,,,,,
,,17,Cheltin FC 30 mg,,,,,,,,,,,,
,,18,Folifer,,,,,,,,,,,,
,,19,Ferranim ,,,,,,,,,,,,
,,20,Floradix cápsulas,,,,,,,,,,,,
,,21,Hemofolic,,,,,,,,,,,,
,,22,Iofi,,,,,,,,,,,,
,,23,"La receta dice 1mg c/24hrs, ni idea cuál compre en la farmacia",,,,,,,,,,,,
,,24,Maam vit ,,,,,,,,,,,,
,,25,maltofer fol plus,,,,,,,,,,,,
,,26,Exelmyo,,,,,,,,,,,,
,,42,Datos faltantes - No recuerdo,,,,,,,,,,,,
,,,,,,,,,,,,,,,
20,¿Cuántos días a la semana consumió el suplemento de ácido fólico?,1,N/A,,,,,,,,,,,,
,,2,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
21,"Cada vez que lo consumió, ¿Cuántas cápsulas tomó?",1,1,,,,,,,,,,,,
,,2,2,,,,,,,,,,,,
,,3,Otro,,,,,,,,,,,,
,,,,,,,,,,,,,,,
22,Suplemento vitamínico,0,No,,,,,,,,,,,,
,,1,Si,,,,,,,,,,,,
,,,,,,,,,,,,,,,
23,Cuál consumió,0,No consumió,Los códigos de multivitamínicos son continuación de los códigos de los suplementos de AF (pregunta 19),,,,,,,,,,,
,,27,Supradyn prenatal (supradyn),,,,,,,,,,,,
,,28,Centrum ,,,,,,,,,,,,
,,29,Bion 3,,,,,,,,,,,,
,,30,Regenesis,,,,,,,,,,,,
,,31,Regenesis max,,,,,,,,,,,,
,,32,Regenesis ultra,,,,,,,,,,,,
,,33,Femasvit prenatal,,,,,,,,,,,,
,,34,Gintol,,,,,,,,,,,,
,,35,Gestavit,,,,,,,,,,,,
,,36,Infor pro vegan pre natal,,,,,,,,,,,,
,,37,Naticare,,,,,,,,,,,,
,,38,Naticare supra,,,,,,,,,,,,
,,39,Naticare lat,,,,,,,,,,,,
,,40,Prenamin natal,,,,,,,,,,,,
,,41,Vitakron duo,,,,,,,,,,,,
,,42,Datos faltantes - No recuerdo,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Creada,Consumo suplementos sin AF,0,No consumió (en blanco),,,,,,,,,,,,
,,1,"Consumió (vitaminas y minerales sin AF, probióticos, omega)",,,,,,,,,,,,
,,,,,,,,,,,,,,,
24,¿Cuántos días a la semana consumió el suplemento vitamínico?,1,N/A,Numérica,,,,,,,,,,,
,,2,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
25,Cada vez que lo consumió ¿Cuántas cápsulas tomó?,1,1,,,,,,,,,,,,
,,2,2,,,,,,,,,,,,
,,3,Otros,,,,,,,,,,,,
,,Código antiguo,,,,,Código actual consenso PF,,,,,,,,
26,Periodo de consumo AF,1,Antes del embarazo,"*Aquellas madres que contestaron que los 3 primeros meses + durante todo el embarazo, se agruparon en el  3 (durante todo el embarazo) - Revisar en el Word que tengo y corroborar, porque sacaré a los antes, ya que no me sirven pues mi tesis es en embarazo",,,1,Eliminar,,,,,,,
,,2,1-3 meses de embarazo (los 3 primeros meses de embarazo),,,,2,,,,,,,,
,,3,Durante todo el embarazo,,,,3,,,,,,,,
,,4,No consumí suplemento en ningún periodo,,,,4,,,,,,,,
,,5,"Antes y los 3 primeros meses (1,2)",,,,2,,,,,,,,
,,6,Antes y todo el embarazo,,,,3,,,,,,,,
,,Código antiguo,,,,,Código actual,Código antiguo,Significado,,,,,,
27,Durante su último embarazo dejó de comer algún alimento como:,1,"Carnes rojas (vacuno, cerdo, etc)",,,,1,1 a 5,Alimentos de origen animal (cualquiera),,,,,,
,,2,"Carnes blancas (aves, pescado)",,,,2,buscar,Alimentos con harina de trigo (debería coincidir con los sin gluten),,,,,,
,,3,"Lácteos (leche, yogurt y quesos)",,,,3,buscar,"Otros: bebestibles - aliños - azúcar, etc",,,,,,
,,4,Huevos,,,,4,6,No dejé de consumir ningún tipo de alimento,,,,,,
,,5,Cualquier producto de origen animal,,,,,,,,,,,,
,,6,No dejé de comer ningún tipo de alimento,,,,,,,,,,,,
,,7,Otros,,,,,,,,,,,,
,,8,Todo tipo de carnes,,,,,,,,,,,,
,,9,Carnes y huevo,,,,,,,,,,,,
,,10,Carnes rojas y lácteos,,,,,,,,,,,,
,,11,"Carnes rojas, lácteos y huevo",,,,,,,,,,,,
,,12,Carnes blancas y lácteos,,,,,,,,,,,,
,,13,Carnes blancas y huevo,,,,,,,,,,,,
,,14,Lácteos y huevo,,,,,,,,,,,,
,,,,,,,,,,,,,,,
28,Pan a base de harina de trigo,0,No,,,,,,,,,,,,
,,1,Sí,,,,,,,,,,,,
,,,,,,,,,,,,,,,
29,Tipo de pan consumido,0,No consumió (cero/en blanco),"10 (Se homolga con pan de leche colombiano) - 15 (Keto, sin gluten, centeno)",,,,,,,,,,,
,,1,"Marraqueta, pan batido, pan francés",,,,,,,,,,,,
,,2,Hallulla,,,,,,,,,,,,
,,3,Pan de molde blanco,,,,,,,,,,,,
,,4,Pan de molde integral,,,,,,,,,,,,
,,5,Pan pita blanco ,,,,,,,,,,,,
,,6,Pan pita integral ,,,,,,,,,,,,
,,7,Ciabatta blanco,,,,,,,,,,,,
,,8,Ciabatta integral,,,,,,,,,,,,
,,9,Pan amasado,,,,,,,,,,,,
,,10,Pan bocado de dama ,,,,,,,,,,,,
,,11,Pan frica / pan de hamburguesa,,,,,,,,,,,,
,,12,Pan lengua ,,,,,,,,,,,,
,,13,Panes integrales,,,,,,,,,,,,
,,14,Todas las anteriores,,,,,,,,,,,,
,,15,Pan sin harina de trigo fortificada,,,,,,,,,,,,
,,Código antiguo,,,,,Código actual corregido,,,,,,,,
30,Cantidad de pan diaria,1,Menos de 1 unidad,,,,0.5,Menos de 1 unidad,,,,,,,
,,2,1 unidad,,,,1,1 unidad,,,,,,,
,,3,2 unidades,,,,2,2 unidades,,,,,,,
,,4,3 unidades,,,,3,3 unidades,,,,,,,
,,5,4 unidades,,,,4,4 unidades,,,,,,,
,,6,5 o más unidades,,,,5,5 o más unidades,,,,,,,
,,0,No como pan,,,,0,No como pan,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Creada,Fecha nacimiento último hijo,1,PRE COVID,2017-2019,,,,,,,,,,,
,,2,COVID,2020-2022,,,,,,,,,,,
,,,,,,,,,,,,,,,
Creada,Agrupación nacionalidad,1,Chilena,,En otras nacionalidades están todas las demás,,,,,,,,,,
,,2,Otras nacionalidades,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Siglas base,SAF,Suplementos de AF,,"1-15, Ácido fólico 1 mg solgar, Ácido fólico 5 mg, La receta dice 1 mgc/24 hrs, ni idea de cual compré en la farmacia",,,,,,,,,,,
,OSAF,"Otros suplementos de AF (""Hierro"")",,"Cheltin FC, folifer, ferramin, floradix, lofi, maam vit, Maltofer Fol plus, hemofolic, Exelmyo",,,,,,,,,,,
,MAF,Multivitamínicos con AF,,"Naticare supra y lat, regénesis max y ultra, prenamin natal, gintol, Centrum, Supradyn prenatal, Bion 3, femasvit prenatal, gestavit, Infor pro vegan pre natal, vitakron duo",,,,,,,,,,,
,SIN,Suplementos sin AF,,"Omega 3, Maltofer, prenamin pro --> agrupados en multivitamínicos cuando los dejen solor en suplementos de AF",,,,,,,,,,,
,,,,,,,,,,,,,,,
NOTAS,Para análisis final tesis no se contemplan columnas AY-BD,,,,,,,,,,,,,,
,"De las columnas de suplementos y/o multivitamínicos que en datos estan con celeste, como por ejemplo AV y AW, sí fueron contempladas para análisis (mención en caso de dudas)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
