Region de Chile,Frecuencia,Porcentaje (%)
1.0,428,50.4
10.0,69,8.1
2.0,65,7.6
4.0,55,6.5
9.0,45,5.3
12.0,44,5.2
3.0,35,4.1
6.0,23,2.7
13.0,18,2.1
11.0,17,2.0
8.0,15,1.8
14.0,9,1.1
5.0,9,1.1
7.0,9,1.1
15.0,5,0.6
16.0,4,0.5
