mapper,nodo,n,af_mean,trap_score_mean,pct_over_ul,pct_folate_trap,pct_b12_supp,pct_b12_diet_risk,pct_saf_5mg,pct_saf_1mg,pct_osaf_hierro,pct_anomalo,pct_evito_animal,pct_evito_gluten,pn_mean,eg_mean,pct_patologia,pct_pat_severa,pct_pat_crecim,imc_mean
A,cube7_cluster0,13,5145.384615384615,7.5,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,3179.923076923077,38.07692307692308,0.0,0.0,0.0,24.530769230769234
A,cube4_cluster0,44,5251.136363636364,5.0,100.0,100.0,0.0,0.0,100.0,0.0,4.545454545454546,0.0,0.0,2.272727272727273,3318.6363636363635,38.59090909090909,0.0,0.0,0.0,25.431818181818183
A,cube5_cluster1,17,5369.117647058823,5.0,100.0,100.0,0.0,0.0,100.0,0.0,11.76470588235294,0.0,0.0,0.0,3404.823529411765,38.35294117647059,0.0,0.0,0.0,25.027647058823533
A,cube5_cluster0,44,5251.136363636364,5.0,100.0,100.0,0.0,0.0,100.0,0.0,4.545454545454546,0.0,0.0,2.272727272727273,3318.6363636363635,38.59090909090909,0.0,0.0,0.0,25.431818181818183
A,cube4_cluster1,18,5283.666666666667,4.920611111111111,100.0,100.0,0.0,0.0,100.0,0.0,11.11111111111111,0.0,0.0,0.0,3387.8888888888887,38.333333333333336,0.0,0.0,0.0,24.915555555555557
A,cube2_cluster1,3,5561.666666666667,2.2500000000000004,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,3190.0,37.0,0.0,0.0,0.0,21.61
A,cube2_cluster0,3,5726.666666666667,2.2500000000000004,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,3248.3333333333335,38.666666666666664,0.0,0.0,0.0,29.02333333333333
A,cube1_cluster1,35,5596.228571428572,1.4938757142857144,100.0,0.0,100.0,2.857142857142857,100.0,0.0,0.0,0.0,2.857142857142857,0.0,3339.0857142857144,38.31428571428572,0.0,0.0,0.0,25.61457142857143
A,cube1_cluster0,145,1189.1241379310345,1.095058620689655,94.48275862068965,94.48275862068965,0.0,22.06896551724138,0.0,100.0,1.3793103448275863,0.0,22.06896551724138,2.0689655172413794,3322.896551724138,38.52413793103448,0.0,0.0,0.0,26.557241379310344
A,cube1_cluster2,37,1178.0,1.0154324324324324,97.2972972972973,97.2972972972973,0.0,5.405405405405405,0.0,97.2972972972973,0.0,0.0,5.405405405405405,0.0,3385.7027027027025,38.810810810810814,0.0,0.0,0.0,27.552432432432433
A,cube0_cluster3,38,1168.157894736842,0.9285526315789473,92.10526315789474,92.10526315789474,0.0,0.0,0.0,94.73684210526315,2.631578947368421,0.0,0.0,0.0,3348.684210526316,38.8421052631579,0.0,0.0,0.0,27.72921052631579
A,cube0_cluster1,201,1262.0696517412935,0.6547054726368159,83.5820895522388,52.736318407960205,38.80597014925373,10.44776119402985,0.0,88.55721393034825,0.9950248756218906,0.0,10.44776119402985,1.4925373134328357,3332.9701492537315,38.37313432835821,0.0,0.0,0.0,26.110945273631838
A,cube0_cluster6,3,1443.3333333333333,0.30000000000000004,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3785.0,40.0,0.0,0.0,0.0,27.17
A,cube0_cluster0,36,866.4722222222222,0.06487916666666667,33.33333333333333,0.0,100.0,13.88888888888889,0.0,19.444444444444446,0.0,0.0,13.88888888888889,2.7777777777777777,3299.0555555555557,38.77777777777778,0.0,0.0,0.0,25.375
A,cube0_cluster5,4,955.0,0.0,25.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,3275.0,38.5,0.0,0.0,0.0,32.582499999999996
A,cube0_cluster2,31,203.70967741935485,0.0,0.0,0.0,0.0,32.25806451612903,0.0,0.0,0.0,0.0,32.25806451612903,0.0,3393.8387096774195,38.32258064516129,0.0,0.0,0.0,26.662903225806456
A,cube0_cluster4,5,119.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,2390.0,35.8,0.0,0.0,0.0,21.688
B,cube4_cluster1,3,5056.666666666667,5.833333333333333,100.0,100.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,33.33333333333333,0.0,4173.333333333333,38.666666666666664,0.0,0.0,0.0,23.916666666666668
B,cube4_cluster0,34,4864.323529411765,4.527279411764706,100.0,91.17647058823529,8.823529411764707,38.23529411764706,79.41176470588235,0.0,20.588235294117645,0.0,38.23529411764706,2.941176470588235,3174.529411764706,38.14705882352941,0.0,0.0,0.0,25.471176470588233
B,cube7_cluster0,6,7213.333333333333,4.375,100.0,66.66666666666666,33.33333333333333,33.33333333333333,100.0,0.0,83.33333333333334,0.0,33.33333333333333,0.0,3382.5,38.333333333333336,0.0,0.0,0.0,23.930000000000003
B,cube5_cluster0,151,5371.827814569537,4.01158940397351,100.0,58.94039735099338,41.05960264900662,25.82781456953642,98.01324503311258,0.0,2.6490066225165565,0.0,25.82781456953642,0.6622516556291391,3317.1721854304637,38.34437086092715,0.0,0.0,0.0,25.386688741721855
B,cube5_cluster1,3,5430.0,3.8333333333333335,100.0,66.66666666666666,33.33333333333333,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3976.6666666666665,40.666666666666664,0.0,0.0,0.0,34.03666666666666
B,cube6_cluster0,35,5889.314285714286,1.7285714285714289,100.0,2.857142857142857,97.14285714285714,17.142857142857142,100.0,0.0,2.857142857142857,0.0,17.142857142857142,0.0,3344.542857142857,38.4,0.0,0.0,0.0,24.91
B,cube3_cluster0,5,3712.2,1.0999100000000002,100.0,60.0,40.0,40.0,60.0,0.0,40.0,0.0,40.0,0.0,3210.0,38.0,0.0,0.0,0.0,23.706
B,cube1_cluster0,343,1275.9825072886297,0.7188036443148689,85.71428571428571,56.268221574344025,39.650145772594755,23.9067055393586,0.2915451895043732,82.79883381924198,2.9154518950437316,0.0,23.9067055393586,0.8746355685131195,3336.9795918367345,38.518950437317784,0.0,0.0,0.0,26.538600583090375
B,cube2_cluster0,49,2074.5714285714284,0.5434367346938775,100.0,22.448979591836736,77.55102040816327,24.489795918367346,12.244897959183673,79.59183673469387,18.367346938775512,0.0,24.489795918367346,0.0,3331.9591836734694,38.59183673469388,0.0,0.0,0.0,24.900816326530613
B,cube0_cluster0,250,841.828,0.5370908000000001,50.8,43.6,29.599999999999998,24.4,0.4,53.2,0.4,0.0,24.4,1.2,3322.644,38.532,0.0,0.0,0.0,26.06332
B,cube0_cluster2,5,641.0,0.48579999999999995,40.0,40.0,20.0,40.0,0.0,60.0,0.0,0.0,40.0,0.0,3233.0,38.0,0.0,0.0,0.0,38.424
B,cube1_cluster1,4,1387.75,0.38380000000000003,100.0,25.0,75.0,25.0,0.0,100.0,0.0,0.0,25.0,0.0,3453.75,38.75,100.0,100.0,0.0,24.6325
B,cube0_cluster1,3,730.0,0.3333333333333333,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,3583.3333333333335,38.666666666666664,100.0,0.0,0.0,25.343333333333334
B,cube0_cluster3,3,796.6666666666666,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3563.3333333333335,38.333333333333336,100.0,100.0,0.0,25.72666666666667
C,cube3_cluster1,5,5137.0,7.5,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,2799.0,37.0,20.0,0.0,0.0,23.112000000000002
C,cube5_cluster5,8,5135.0,7.5,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,3506.875,39.625,0.0,0.0,0.0,27.82875
C,cube4_cluster7,5,5554.0,7.5,100.0,100.0,0.0,100.0,100.0,0.0,20.0,0.0,100.0,0.0,3267.0,38.4,0.0,0.0,0.0,26.806
C,cube4_cluster3,12,5112.083333333333,7.5,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,3260.75,38.666666666666664,8.333333333333332,0.0,0.0,25.9375
C,cube3_cluster10,3,5150.0,7.5,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,2718.3333333333335,37.333333333333336,0.0,0.0,0.0,27.60666666666667
C,cube2_cluster0,9,5015.666666666667,5.03961111111111,100.0,100.0,0.0,11.11111111111111,100.0,0.0,0.0,0.0,11.11111111111111,0.0,2341.1111111111113,35.22222222222222,11.11111111111111,0.0,0.0,26.54888888888889
C,cube3_cluster3,15,5088.733333333334,5.023766666666666,100.0,100.0,0.0,6.666666666666667,100.0,0.0,0.0,0.0,6.666666666666667,0.0,2752.6666666666665,37.4,6.666666666666667,0.0,0.0,25.58866666666667
C,cube1_cluster0,3,5260.0,5.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1930.0,32.333333333333336,33.33333333333333,0.0,33.33333333333333,28.52
C,cube5_cluster2,24,5368.333333333333,5.0,100.0,100.0,0.0,0.0,100.0,0.0,8.333333333333332,0.0,0.0,0.0,3625.2083333333335,39.041666666666664,4.166666666666666,4.166666666666666,0.0,26.8225
C,cube4_cluster5,16,5448.75,5.0,100.0,100.0,0.0,0.0,100.0,0.0,12.5,0.0,0.0,0.0,3304.125,38.5625,12.5,0.0,0.0,26.46625
C,cube5_cluster4,15,5377.0,5.0,100.0,100.0,0.0,0.0,100.0,0.0,13.333333333333334,0.0,0.0,0.0,3574.8,38.4,13.333333333333334,0.0,0.0,24.10466666666667
C,cube4_cluster6,32,5296.5625,5.0,100.0,100.0,0.0,0.0,100.0,0.0,6.25,0.0,0.0,3.125,3282.34375,38.59375,3.125,3.125,0.0,25.885312499999998
C,cube6_cluster5,6,5317.5,5.0,100.0,100.0,0.0,0.0,100.0,0.0,16.666666666666664,0.0,0.0,0.0,4060.8333333333335,38.166666666666664,16.666666666666664,16.666666666666664,0.0,27.360000000000003
C,cube6_cluster1,8,5180.0,5.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4041.875,39.625,0.0,0.0,0.0,30.815
C,cube5_cluster7,7,6000.0,1.7142857142857146,100.0,0.0,100.0,28.57142857142857,100.0,0.0,0.0,0.0,28.57142857142857,0.0,3684.8571428571427,38.714285714285715,14.285714285714285,0.0,0.0,24.868571428571432
C,cube4_cluster4,40,5472.75,1.6392862500000007,100.0,0.0,100.0,27.500000000000004,100.0,0.0,0.0,0.0,27.500000000000004,0.0,3267.075,38.225,2.5,2.5,0.0,26.216500000000003
C,cube3_cluster5,7,5745.0,1.5000000000000002,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2854.285714285714,37.142857142857146,14.285714285714285,0.0,0.0,25.231428571428573
C,cube6_cluster3,4,5695.0,1.5000000000000002,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4106.25,39.25,0.0,0.0,0.0,24.294999999999998
C,cube4_cluster9,6,5513.333333333333,1.5000000000000002,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3207.1666666666665,38.166666666666664,0.0,0.0,0.0,22.17833333333333
C,cube5_cluster6,28,1173.0714285714287,1.1096785714285715,96.42857142857143,96.42857142857143,0.0,25.0,0.0,100.0,0.0,0.0,25.0,0.0,3617.9285714285716,39.214285714285715,7.142857142857142,0.0,0.0,27.09642857142857
C,cube6_cluster4,9,1143.0,1.095222222222222,100.0,100.0,0.0,22.22222222222222,0.0,100.0,0.0,0.0,22.22222222222222,0.0,3983.3333333333335,39.666666666666664,11.11111111111111,0.0,0.0,30.185555555555556
C,cube3_cluster7,14,1187.2142857142858,1.0050714285714286,92.85714285714286,92.85714285714286,0.0,7.142857142857142,0.0,92.85714285714286,0.0,0.0,7.142857142857142,0.0,2841.8571428571427,38.285714285714285,7.142857142857142,7.142857142857142,0.0,27.642142857142854
C,cube1_cluster3,3,1113.3333333333333,1.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1933.3333333333333,34.666666666666664,0.0,0.0,0.0,27.206666666666667
C,cube1_cluster2,4,1116.25,1.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1785.0,33.25,0.0,0.0,0.0,25.642500000000002
C,cube7_cluster1,5,1059.2,0.9141999999999999,80.0,80.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4544.0,38.8,40.0,20.0,0.0,28.998
C,cube4_cluster8,32,1279.46875,0.904,87.5,87.5,0.0,15.625,0.0,84.375,12.5,0.0,15.625,0.0,3210.9375,38.59375,6.25,0.0,0.0,27.4390625
C,cube5_cluster0,155,1984.374193548387,0.8536670967741935,83.87096774193549,43.87096774193549,47.74193548387097,19.35483870967742,18.70967741935484,70.96774193548387,0.6451612903225806,0.0,19.35483870967742,0.0,3589.6774193548385,38.78064516129032,6.451612903225806,2.5806451612903225,0.0,27.08903225806451
C,cube3_cluster2,67,1247.4626865671642,0.7942402985074626,88.05970149253731,62.68656716417911,31.343283582089555,22.388059701492537,0.0,92.53731343283582,0.0,0.0,22.388059701492537,0.0,2781.507462686567,37.61194029850746,8.955223880597014,1.4925373134328357,1.4925373134328357,25.97268656716418
C,cube4_cluster1,167,1259.1437125748503,0.7817754491017962,87.42514970059881,59.2814371257485,33.532934131736525,25.748502994011975,0.5988023952095809,91.61676646706587,1.7964071856287425,0.0,25.748502994011975,1.7964071856287425,3246.694610778443,38.52095808383233,2.3952095808383236,1.7964071856287425,0.0,26.246347305389218
C,cube2_cluster1,29,1263.8275862068965,0.7293103448275863,89.65517241379311,55.172413793103445,37.93103448275862,17.24137931034483,0.0,93.10344827586206,0.0,0.0,17.24137931034483,0.0,2403.0,36.3448275862069,20.689655172413794,6.896551724137931,3.4482758620689653,25.350689655172417
C,cube6_cluster0,36,1088.0277777777778,0.6766666666666666,66.66666666666666,50.0,30.555555555555557,16.666666666666664,0.0,83.33333333333334,0.0,0.0,16.666666666666664,0.0,4017.8055555555557,39.333333333333336,5.555555555555555,2.7777777777777777,0.0,26.68638888888889
C,cube3_cluster9,4,871.25,0.15000000000000002,50.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2969.75,38.5,0.0,0.0,0.0,22.995
C,cube5_cluster3,42,1098.2857142857142,0.13928214285714285,45.23809523809524,0.0,100.0,28.57142857142857,0.0,38.095238095238095,0.0,0.0,28.57142857142857,0.0,3594.404761904762,38.88095238095238,16.666666666666664,7.142857142857142,0.0,26.089047619047612
C,cube4_cluster0,47,993.8723404255319,0.09574468085106383,42.5531914893617,0.0,100.0,23.404255319148938,0.0,27.659574468085108,0.0,0.0,23.404255319148938,2.127659574468085,3266.6382978723404,38.659574468085104,10.638297872340425,4.25531914893617,0.0,25.93382978723404
C,cube3_cluster6,8,1266.25,0.09375000000000001,62.5,0.0,100.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,2774.375,37.25,0.0,0.0,0.0,25.99125
C,cube3_cluster8,3,2920.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2791.6666666666665,38.333333333333336,0.0,0.0,0.0,26.33666666666667
C,cube3_cluster0,8,210.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,37.5,0.0,2733.75,37.25,12.5,12.5,0.0,24.715
C,cube1_cluster1,4,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.75,35.5,0.0,0.0,0.0,24.950000000000003
C,cube3_cluster4,3,665.6666666666666,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2836.0,37.666666666666664,33.33333333333333,33.33333333333333,0.0,26.403333333333336
C,cube2_cluster2,7,123.57142857142857,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,0.0,2205.714285714286,35.857142857142854,28.57142857142857,28.57142857142857,0.0,25.161428571428576
C,cube4_cluster2,24,191.66666666666666,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,4.166666666666666,3331.6666666666665,37.875,0.0,0.0,0.0,28.479583333333334
C,cube5_cluster1,25,176.6,0.0,0.0,0.0,0.0,28.000000000000004,0.0,0.0,0.0,0.0,28.000000000000004,4.0,3577.16,38.16,8.0,4.0,0.0,26.852400000000003
C,cube4_cluster10,3,4133.333333333333,0.0,100.0,100.0,0.0,33.33333333333333,0.0,0.0,100.0,0.0,33.33333333333333,0.0,3355.0,39.333333333333336,0.0,0.0,0.0,25.973333333333333
C,cube5_cluster8,9,2100.0,0.0,88.88888888888889,88.88888888888889,0.0,22.22222222222222,0.0,0.0,100.0,0.0,22.22222222222222,0.0,3762.777777777778,39.333333333333336,22.22222222222222,11.11111111111111,0.0,28.982222222222227
C,cube5_cluster9,3,4133.333333333333,0.0,100.0,100.0,0.0,33.33333333333333,0.0,0.0,100.0,0.0,33.33333333333333,0.0,3355.0,39.333333333333336,0.0,0.0,0.0,25.973333333333333
C,cube6_cluster2,4,255.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,4241.25,39.25,0.0,0.0,0.0,26.5775
C,cube6_cluster6,8,945.625,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3991.875,39.125,12.5,12.5,0.0,25.72
C,cube6_cluster7,3,3326.6666666666665,0.0,100.0,100.0,0.0,33.33333333333333,0.0,0.0,100.0,0.0,33.33333333333333,0.0,4050.0,38.0,33.33333333333333,0.0,0.0,32.983333333333334
C,cube7_cluster0,3,253.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4558.333333333333,39.666666666666664,0.0,0.0,0.0,31.55333333333333
D,cube14_cluster0,23,3352.5652173913045,3.5366739130434786,86.95652173913044,60.86956521739131,39.130434782608695,100.0,52.17391304347826,21.73913043478261,4.3478260869565215,0.0,100.0,0.0,3278.2608695652175,38.43478260869565,0.0,0.0,0.0,24.44565217391305
D,cube38_cluster0,5,3501.4,3.3714,80.0,80.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,3449.4,38.2,0.0,0.0,0.0,25.73
D,cube22_cluster0,10,3542.0,3.2,90.0,90.0,0.0,0.0,60.0,20.0,10.0,0.0,0.0,0.0,3095.0,38.2,0.0,0.0,0.0,24.366000000000003
D,cube15_cluster0,10,3542.0,3.2,90.0,90.0,0.0,0.0,60.0,20.0,10.0,0.0,0.0,0.0,3095.0,38.2,0.0,0.0,0.0,24.366000000000003
D,cube16_cluster0,9,2994.4444444444443,2.6666666666666665,100.0,100.0,0.0,0.0,44.44444444444444,44.44444444444444,11.11111111111111,0.0,0.0,0.0,3077.222222222222,38.333333333333336,0.0,0.0,0.0,23.616666666666667
D,cube21_cluster0,13,2959.923076923077,2.5648846153846154,76.92307692307693,38.46153846153847,61.53846153846154,100.0,46.15384615384615,23.076923076923077,0.0,0.0,100.0,0.0,3325.3846153846152,38.53846153846154,0.0,0.0,0.0,23.696153846153848
D,cube19_cluster0,21,2497.5714285714284,2.4149523809523807,80.95238095238095,80.95238095238095,0.0,0.0,38.095238095238095,52.38095238095239,4.761904761904762,0.0,0.0,14.285714285714285,3399.4761904761904,38.38095238095238,0.0,0.0,0.0,24.032857142857146
D,cube38_cluster1,3,2463.3333333333335,2.3333333333333335,100.0,100.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,3403.3333333333335,39.0,0.0,0.0,0.0,28.650000000000002
