variable,HIGH_mean,MEDIUM_mean,LOW_mean,p,sig
Peso al nacer (g),3303.5466666666666,3339.47533632287,3316.5719063545152,0.835133855289356,n.s.
Edad gestacional (sem),38.45333333333333,38.53811659192825,38.4314381270903,0.6420536047386225,n.s.
AF total (μg/día),5183.013333333333,2016.591928251121,1069.4247491638796,4.7163422582618335e-40,***
Trap score,5.502960000000001,1.397936995515695,0.7648933110367893,8.909311033461594e-71,***
IMC materno,25.382933333333334,26.614439461883407,25.985117056856186,0.20364514653635032,n.s.
Edad materna,35.72,33.44394618834081,33.92307692307692,0.0015665218766166163,**
Ganancia peso mamá,10.582666666666666,10.491031390134529,10.713377926421405,0.9914540498958243,n.s.
